video_id,signer_id,fps,resolution,gloss,num_frames,length_seconds
014194,019,25.0,1080,Anh,55,2.2
014195,019,25.0,1080,Anh,58,2.32
016009,021,25.0,1080,Anh,62,2.48
016010,021,25.0,1080,Anh,59,2.36
019484,025,25.0,1080,Anh,51,2.04
019485,025,25.0,1080,Anh,58,2.32
019654,026,25.0,1080,Anh,58,2.32
019655,026,25.0,1080,Anh,65,2.6
019656,026,25.0,1080,Anh,45,1.8
019657,026,25.0,1080,Anh,43,1.72
021507,025,25.0,1080,Anh,77,3.08
021607,025,25.0,1080,Anh,61,2.44
022391,026,25.0,1080,Anh,55,2.2
022491,026,25.0,1080,Anh,57,2.28
000002,001,25.0,1080,Chị,62,2.48
000003,001,25.0,1080,Chị,76,3.04
000863,002,25.0,1080,Chị,60,2.4
000864,002,25.0,1080,Chị,58,2.32
001704,003,25.0,1080,Chị,72,2.88
001705,003,25.0,1080,Chị,73,2.92
003417,006,25.0,1080,Chị,59,2.36
003418,006,25.0,1080,Chị,65,2.6
003419,006,25.0,1080,Chị,62,2.48
004249,007,25.0,1080,Chị,70,2.8
004250,007,25.0,1080,Chị,65,2.6
005080,008,25.0,1080,Chị,62,2.48
005081,008,25.0,1080,Chị,63,2.52
005903,009,25.0,1080,Chị,74,2.96
005904,009,25.0,1080,Chị,67,2.68
005905,009,25.0,1080,Chị,67,2.68
005906,009,25.0,1080,Chị,80,3.2
005907,009,25.0,1080,Chị,76,3.04
005908,009,25.0,1080,Chị,73,2.92
005909,009,25.0,1080,Chị,75,3.0
005910,009,25.0,1080,Chị,79,3.16
005911,009,25.0,1080,Chị,75,3.0
006932,010,25.0,1080,Chị,59,2.36
006933,010,25.0,1080,Chị,64,2.56
006934,010,25.0,1080,Chị,56,2.24
006935,010,25.0,1080,Chị,47,1.88
008758,012,25.0,1080,Chị,70,2.8
008759,012,25.0,1080,Chị,62,2.48
009600,013,25.0,1080,Chị,56,2.24
009601,013,25.0,1080,Chị,60,2.4
010427,014,25.0,1080,Chị,58,2.32
010428,014,25.0,1080,Chị,59,2.36
010429,014,25.0,1080,Chị,80,3.2
014196,019,25.0,1080,Chị,63,2.52
014197,019,25.0,1080,Chị,58,2.32
016011,021,25.0,1080,Chị,68,2.72
016012,021,25.0,1080,Chị,64,2.56
016863,022,25.0,1080,Chị,58,2.32
016864,022,25.0,1080,Chị,57,2.28
016865,022,25.0,1080,Chị,60,2.4
018612,024,25.0,1080,Chị,65,2.6
018613,024,25.0,1080,Chị,66,2.64
019486,025,25.0,1080,Chị,49,1.96
019487,025,25.0,1080,Chị,60,2.4
020624,024,25.0,1080,Chị,59,2.36
020724,024,25.0,1080,Chị,49,1.96
021508,025,25.0,1080,Chị,62,2.48
021608,025,25.0,1080,Chị,55,2.2
023276,027,25.0,1080,Chị,65,2.6
023376,027,25.0,1080,Chị,74,2.96
024076,028,25.0,1080,Chị,58,2.32
024176,028,25.0,1080,Chị,64,2.56
000004,001,25.0,1080,Em,65,2.6
000005,001,25.0,1080,Em,74,2.96
000865,002,25.0,1080,Em,55,2.2
000866,002,25.0,1080,Em,55,2.2
002558,004,25.0,1080,Em,68,2.72
002559,004,25.0,1080,Em,59,2.36
004251,007,25.0,1080,Em,68,2.72
004252,007,25.0,1080,Em,62,2.48
006936,010,25.0,1080,Em,51,2.04
006937,010,25.0,1080,Em,60,2.4
007824,011,25.0,1080,Em,50,2.0
007825,011,25.0,1080,Em,51,2.04
007826,011,25.0,1080,Em,53,2.12
007827,011,25.0,1080,Em,49,1.96
008760,012,25.0,1080,Em,63,2.52
008761,012,25.0,1080,Em,64,2.56
009602,013,25.0,1080,Em,66,2.64
009603,013,25.0,1080,Em,63,2.52
010430,014,25.0,1080,Em,63,2.52
010431,014,25.0,1080,Em,53,2.12
010432,014,25.0,1080,Em,63,2.52
010433,014,25.0,1080,Em,45,1.8
010434,014,25.0,1080,Em,43,1.72
011367,015,25.0,1080,Em,62,2.48
011368,015,25.0,1080,Em,55,2.2
011369,015,25.0,1080,Em,65,2.6
011370,015,25.0,1080,Em,66,2.64
011371,015,25.0,1080,Em,59,2.36
011372,015,25.0,1080,Em,66,2.64
011373,015,25.0,1080,Em,48,1.92
011374,015,25.0,1080,Em,49,1.96
013370,018,25.0,1080,Em,56,2.24
013371,018,25.0,1080,Em,53,2.12
014198,019,25.0,1080,Em,61,2.44
014199,019,25.0,1080,Em,56,2.24
016013,021,25.0,1080,Em,60,2.4
016014,021,25.0,1080,Em,63,2.52
017740,023,25.0,1080,Em,66,2.64
017741,023,25.0,1080,Em,67,2.68
017742,023,25.0,1080,Em,66,2.64
019488,025,25.0,1080,Em,53,2.12
019489,025,25.0,1080,Em,57,2.28
019662,026,25.0,1080,Em,75,3.0
019663,026,25.0,1080,Em,67,2.68
019664,026,25.0,1080,Em,52,2.08
019665,026,25.0,1080,Em,48,1.92
021509,025,25.0,1080,Em,75,3.0
021609,025,25.0,1080,Em,58,2.32
022393,026,25.0,1080,Em,53,2.12
022493,026,25.0,1080,Em,58,2.32
023277,027,25.0,1080,Em,50,2.0
023377,027,25.0,1080,Em,63,2.52
024077,028,25.0,1080,Em,56,2.24
024177,028,25.0,1080,Em,54,2.16
000006,001,25.0,1080,Chú,55,2.2
000007,001,25.0,1080,Chú,65,2.6
000867,002,25.0,1080,Chú,59,2.36
000868,002,25.0,1080,Chú,56,2.24
002560,004,25.0,1080,Chú,57,2.28
002561,004,25.0,1080,Chú,60,2.4
003422,006,25.0,1080,Chú,63,2.52
003423,006,25.0,1080,Chú,63,2.52
005084,008,25.0,1080,Chú,71,2.84
005085,008,25.0,1080,Chú,60,2.4
005920,009,25.0,1080,Chú,70,2.8
005921,009,25.0,1080,Chú,80,3.2
005922,009,25.0,1080,Chú,86,3.44
005923,009,25.0,1080,Chú,80,3.2
005924,009,25.0,1080,Chú,83,3.32
007828,011,25.0,1080,Chú,53,2.12
007829,011,25.0,1080,Chú,54,2.16
008762,012,25.0,1080,Chú,61,2.44
008763,012,25.0,1080,Chú,57,2.28
009604,013,25.0,1080,Chú,60,2.4
009605,013,25.0,1080,Chú,59,2.36
010435,014,25.0,1080,Chú,58,2.32
010436,014,25.0,1080,Chú,58,2.32
011375,015,25.0,1080,Chú,62,2.48
011376,015,25.0,1080,Chú,59,2.36
011377,015,25.0,1080,Chú,55,2.2
011378,015,25.0,1080,Chú,64,2.56
011379,015,25.0,1080,Chú,64,2.56
011380,015,25.0,1080,Chú,65,2.6
012514,016,25.0,1080,Chú,71,2.84
012515,016,25.0,1080,Chú,67,2.68
013372,018,25.0,1080,Chú,54,2.16
013373,018,25.0,1080,Chú,49,1.96
015024,020,25.0,1080,Chú,58,2.32
015025,020,25.0,1080,Chú,63,2.52
016869,022,25.0,1080,Chú,56,2.24
016870,022,25.0,1080,Chú,60,2.4
016871,022,25.0,1080,Chú,63,2.52
017743,023,25.0,1080,Chú,65,2.6
017744,023,25.0,1080,Chú,67,2.68
017745,023,25.0,1080,Chú,62,2.48
019666,026,25.0,1080,Chú,74,2.96
019667,026,25.0,1080,Chú,61,2.44
022394,026,25.0,1080,Chú,52,2.08
022494,026,25.0,1080,Chú,53,2.12
024078,028,25.0,1080,Chú,53,2.12
024178,028,25.0,1080,Chú,59,2.36
000008,001,25.0,1080,Cậu,65,2.6
000009,001,25.0,1080,Cậu,70,2.8
001711,003,25.0,1080,Cậu,60,2.4
001712,003,25.0,1080,Cậu,64,2.56
002562,004,25.0,1080,Cậu,60,2.4
002563,004,25.0,1080,Cậu,64,2.56
004255,007,25.0,1080,Cậu,60,2.4
004256,007,25.0,1080,Cậu,65,2.6
005086,008,25.0,1080,Cậu,70,2.8
005087,008,25.0,1080,Cậu,69,2.76
005925,009,25.0,1080,Cậu,68,2.72
005926,009,25.0,1080,Cậu,71,2.84
005927,009,25.0,1080,Cậu,81,3.24
005928,009,25.0,1080,Cậu,80,3.2
005929,009,25.0,1080,Cậu,81,3.24
005930,009,25.0,1080,Cậu,80,3.2
007830,011,25.0,1080,Cậu,52,2.08
007831,011,25.0,1080,Cậu,59,2.36
008764,012,25.0,1080,Cậu,65,2.6
008765,012,25.0,1080,Cậu,60,2.4
010437,014,25.0,1080,Cậu,51,2.04
010438,014,25.0,1080,Cậu,57,2.28
011381,015,25.0,1080,Cậu,57,2.28
011382,015,25.0,1080,Cậu,67,2.68
011383,015,25.0,1080,Cậu,56,2.24
011384,015,25.0,1080,Cậu,52,2.08
011385,015,25.0,1080,Cậu,71,2.84
011386,015,25.0,1080,Cậu,70,2.8
013374,018,25.0,1080,Cậu,56,2.24
013375,018,25.0,1080,Cậu,58,2.32
015026,020,25.0,1080,Cậu,63,2.52
015027,020,25.0,1080,Cậu,68,2.72
016017,021,25.0,1080,Cậu,66,2.64
016018,021,25.0,1080,Cậu,63,2.52
016872,022,25.0,1080,Cậu,61,2.44
016873,022,25.0,1080,Cậu,57,2.28
019491,025,25.0,1080,Cậu,56,2.24
019492,025,25.0,1080,Cậu,57,2.28
019493,025,25.0,1080,Cậu,65,2.6
019668,026,25.0,1080,Cậu,76,3.04
019669,026,25.0,1080,Cậu,72,2.88
021511,025,25.0,1080,Cậu,68,2.72
021611,025,25.0,1080,Cậu,71,2.84
022395,026,25.0,1080,Cậu,60,2.4
022495,026,25.0,1080,Cậu,55,2.2
023279,027,25.0,1080,Cậu,62,2.48
023379,027,25.0,1080,Cậu,59,2.36
024079,028,25.0,1080,Cậu,55,2.2
024179,028,25.0,1080,Cậu,61,2.44
001713,003,25.0,1080,Bác,65,2.6
001714,003,25.0,1080,Bác,69,2.76
002564,004,25.0,1080,Bác,64,2.56
002565,004,25.0,1080,Bác,59,2.36
004257,007,25.0,1080,Bác,69,2.76
004258,007,25.0,1080,Bác,67,2.68
005088,008,25.0,1080,Bác,70,2.8
005089,008,25.0,1080,Bác,72,2.88
005931,009,25.0,1080,Bác,78,3.12
005932,009,25.0,1080,Bác,80,3.2
005933,009,25.0,1080,Bác,82,3.28
005934,009,25.0,1080,Bác,93,3.72
005935,009,25.0,1080,Bác,76,3.04
008766,012,25.0,1080,Bác,70,2.8
008767,012,25.0,1080,Bác,65,2.6
009608,013,25.0,1080,Bác,70,2.8
009609,013,25.0,1080,Bác,62,2.48
010439,014,25.0,1080,Bác,61,2.44
010440,014,25.0,1080,Bác,74,2.96
010441,014,25.0,1080,Bác,68,2.72
011387,015,25.0,1080,Bác,55,2.2
011388,015,25.0,1080,Bác,61,2.44
011389,015,25.0,1080,Bác,60,2.4
011390,015,25.0,1080,Bác,65,2.6
011391,015,25.0,1080,Bác,54,2.16
011392,015,25.0,1080,Bác,65,2.6
012518,016,25.0,1080,Bác,70,2.8
012519,016,25.0,1080,Bác,69,2.76
013376,018,25.0,1080,Bác,52,2.08
013377,018,25.0,1080,Bác,55,2.2
014204,019,25.0,1080,Bác,59,2.36
014205,019,25.0,1080,Bác,55,2.2
016019,021,25.0,1080,Bác,61,2.44
016020,021,25.0,1080,Bác,69,2.76
016874,022,25.0,1080,Bác,59,2.36
016875,022,25.0,1080,Bác,63,2.52
016876,022,25.0,1080,Bác,60,2.4
017749,023,25.0,1080,Bác,70,2.8
017750,023,25.0,1080,Bác,68,2.72
017751,023,25.0,1080,Bác,68,2.72
018622,024,25.0,1080,Bác,50,2.0
018623,024,25.0,1080,Bác,51,2.04
018624,024,25.0,1080,Bác,50,2.0
019670,026,25.0,1080,Bác,60,2.4
019671,026,25.0,1080,Bác,70,2.8
020628,024,25.0,1080,Bác,57,2.28
020728,024,25.0,1080,Bác,58,2.32
022396,026,25.0,1080,Bác,60,2.4
022496,026,25.0,1080,Bác,68,2.72
023280,027,25.0,1080,Bác,58,2.32
023380,027,25.0,1080,Bác,68,2.72
000012,001,25.0,1080,Dì,61,2.44
000013,001,25.0,1080,Dì,64,2.56
001715,003,25.0,1080,Dì,57,2.28
001716,003,25.0,1080,Dì,66,2.64
002566,004,25.0,1080,Dì,63,2.52
002567,004,25.0,1080,Dì,66,2.64
003428,006,25.0,1080,Dì,60,2.4
003429,006,25.0,1080,Dì,64,2.56
004259,007,25.0,1080,Dì,70,2.8
004260,007,25.0,1080,Dì,68,2.72
005090,008,25.0,1080,Dì,70,2.8
005091,008,25.0,1080,Dì,71,2.84
005936,009,25.0,1080,Dì,73,2.92
005937,009,25.0,1080,Dì,74,2.96
005938,009,25.0,1080,Dì,85,3.4
005939,009,25.0,1080,Dì,74,2.96
005940,009,25.0,1080,Dì,70,2.8
006944,010,25.0,1080,Dì,62,2.48
006945,010,25.0,1080,Dì,58,2.32
011393,015,25.0,1080,Dì,60,2.4
011394,015,25.0,1080,Dì,54,2.16
011395,015,25.0,1080,Dì,55,2.2
011396,015,25.0,1080,Dì,60,2.4
011397,015,25.0,1080,Dì,58,2.32
011398,015,25.0,1080,Dì,61,2.44
012520,016,25.0,1080,Dì,66,2.64
012521,016,25.0,1080,Dì,70,2.8
012522,016,25.0,1080,Dì,70,2.8
012523,016,25.0,1080,Dì,65,2.6
013378,018,25.0,1080,Dì,54,2.16
013379,018,25.0,1080,Dì,55,2.2
015030,020,25.0,1080,Dì,57,2.28
015031,020,25.0,1080,Dì,63,2.52
016021,021,25.0,1080,Dì,57,2.28
016022,021,25.0,1080,Dì,65,2.6
016877,022,25.0,1080,Dì,60,2.4
016878,022,25.0,1080,Dì,62,2.48
016879,022,25.0,1080,Dì,63,2.52
019497,025,25.0,1080,Dì,52,2.08
019498,025,25.0,1080,Dì,58,2.32
019672,026,25.0,1080,Dì,69,2.76
019673,026,25.0,1080,Dì,63,2.52
019674,026,25.0,1080,Dì,69,2.76
021513,025,25.0,1080,Dì,70,2.8
021613,025,25.0,1080,Dì,58,2.32
022397,026,25.0,1080,Dì,56,2.24
022497,026,25.0,1080,Dì,56,2.24
023281,027,25.0,1080,Dì,51,2.04
023381,027,25.0,1080,Dì,56,2.24
024081,028,25.0,1080,Dì,67,2.68
024181,028,25.0,1080,Dì,62,2.48
000014,001,25.0,1080,Cô,62,2.48
000015,001,25.0,1080,Cô,74,2.96
000875,002,25.0,1080,Cô,64,2.56
000876,002,25.0,1080,Cô,58,2.32
001717,003,25.0,1080,Cô,60,2.4
001718,003,25.0,1080,Cô,67,2.68
002568,004,25.0,1080,Cô,58,2.32
002569,004,25.0,1080,Cô,63,2.52
005092,008,25.0,1080,Cô,56,2.24
005093,008,25.0,1080,Cô,55,2.2
005941,009,25.0,1080,Cô,63,2.52
005942,009,25.0,1080,Cô,67,2.68
005943,009,25.0,1080,Cô,83,3.32
005944,009,25.0,1080,Cô,78,3.12
005945,009,25.0,1080,Cô,75,3.0
006946,010,25.0,1080,Cô,60,2.4
006947,010,25.0,1080,Cô,61,2.44
006948,010,25.0,1080,Cô,53,2.12
006949,010,25.0,1080,Cô,50,2.0
007836,011,25.0,1080,Cô,51,2.04
007837,011,25.0,1080,Cô,57,2.28
009612,013,25.0,1080,Cô,54,2.16
009613,013,25.0,1080,Cô,55,2.2
010446,014,25.0,1080,Cô,82,3.28
010447,014,25.0,1080,Cô,85,3.4
011399,015,25.0,1080,Cô,59,2.36
011400,015,25.0,1080,Cô,50,2.0
011401,015,25.0,1080,Cô,60,2.4
011402,015,25.0,1080,Cô,67,2.68
011403,015,25.0,1080,Cô,69,2.76
011404,015,25.0,1080,Cô,67,2.68
011405,015,25.0,1080,Cô,51,2.04
011406,015,25.0,1080,Cô,48,1.92
011407,015,25.0,1080,Cô,52,2.08
012524,016,25.0,1080,Cô,61,2.44
012525,016,25.0,1080,Cô,74,2.96
012526,016,25.0,1080,Cô,72,2.88
013380,018,25.0,1080,Cô,50,2.0
013381,018,25.0,1080,Cô,58,2.32
013382,018,25.0,1080,Cô,56,2.24
014208,019,25.0,1080,Cô,58,2.32
014209,019,25.0,1080,Cô,70,2.8
016023,021,25.0,1080,Cô,68,2.72
016024,021,25.0,1080,Cô,69,2.76
019499,025,25.0,1080,Cô,55,2.2
019500,025,25.0,1080,Cô,61,2.44
019675,026,25.0,1080,Cô,65,2.6
019676,026,25.0,1080,Cô,75,3.0
019677,026,25.0,1080,Cô,54,2.16
019678,026,25.0,1080,Cô,55,2.2
021514,025,25.0,1080,Cô,59,2.36
021614,025,25.0,1080,Cô,57,2.28
022398,026,25.0,1080,Cô,57,2.28
022498,026,25.0,1080,Cô,58,2.32
024082,028,25.0,1080,Cô,57,2.28
024182,028,25.0,1080,Cô,58,2.32
000016,001,25.0,1080,Cháu,59,2.36
000017,001,25.0,1080,Cháu,68,2.72
001719,003,25.0,1080,Cháu,63,2.52
001720,003,25.0,1080,Cháu,56,2.24
001721,003,25.0,1080,Cháu,61,2.44
002570,004,25.0,1080,Cháu,63,2.52
002571,004,25.0,1080,Cháu,58,2.32
003432,006,25.0,1080,Cháu,67,2.68
003433,006,25.0,1080,Cháu,73,2.92
005946,009,25.0,1080,Cháu,84,3.36
005947,009,25.0,1080,Cháu,76,3.04
005948,009,25.0,1080,Cháu,85,3.4
005949,009,25.0,1080,Cháu,85,3.4
005950,009,25.0,1080,Cháu,81,3.24
006950,010,25.0,1080,Cháu,60,2.4
006951,010,25.0,1080,Cháu,67,2.68
007838,011,25.0,1080,Cháu,57,2.28
007839,011,25.0,1080,Cháu,61,2.44
009614,013,25.0,1080,Cháu,60,2.4
009615,013,25.0,1080,Cháu,65,2.6
010448,014,25.0,1080,Cháu,67,2.68
010449,014,25.0,1080,Cháu,64,2.56
011408,015,25.0,1080,Cháu,67,2.68
011409,015,25.0,1080,Cháu,63,2.52
011410,015,25.0,1080,Cháu,56,2.24
011411,015,25.0,1080,Cháu,67,2.68
011412,015,25.0,1080,Cháu,68,2.72
011413,015,25.0,1080,Cháu,65,2.6
013383,018,25.0,1080,Cháu,59,2.36
013384,018,25.0,1080,Cháu,55,2.2
015036,020,25.0,1080,Cháu,57,2.28
015037,020,25.0,1080,Cháu,61,2.44
016025,021,25.0,1080,Cháu,67,2.68
016026,021,25.0,1080,Cháu,65,2.6
016883,022,25.0,1080,Cháu,55,2.2
016884,022,25.0,1080,Cháu,68,2.72
016885,022,25.0,1080,Cháu,67,2.68
018629,024,25.0,1080,Cháu,62,2.48
018630,024,25.0,1080,Cháu,70,2.8
018631,024,25.0,1080,Cháu,62,2.48
018632,024,25.0,1080,Cháu,63,2.52
019501,025,25.0,1080,Cháu,54,2.16
019502,025,25.0,1080,Cháu,64,2.56
019679,026,25.0,1080,Cháu,74,2.96
019680,026,25.0,1080,Cháu,67,2.68
019681,026,25.0,1080,Cháu,70,2.8
020631,024,25.0,1080,Cháu,63,2.52
020731,024,25.0,1080,Cháu,57,2.28
021515,025,25.0,1080,Cháu,68,2.72
021615,025,25.0,1080,Cháu,69,2.76
022399,026,25.0,1080,Cháu,71,2.84
022499,026,25.0,1080,Cháu,67,2.68
023283,027,25.0,1080,Cháu,69,2.76
023383,027,25.0,1080,Cháu,63,2.52
000018,001,25.0,1080,Họ hàng,60,2.4
000019,001,25.0,1080,Họ hàng,72,2.88
001722,003,25.0,1080,Họ hàng,70,2.8
001723,003,25.0,1080,Họ hàng,64,2.56
005096,008,25.0,1080,Họ hàng,65,2.6
005097,008,25.0,1080,Họ hàng,84,3.36
005098,008,25.0,1080,Họ hàng,69,2.76
005951,009,25.0,1080,Họ hàng,77,3.08
005952,009,25.0,1080,Họ hàng,82,3.28
005953,009,25.0,1080,Họ hàng,84,3.36
005954,009,25.0,1080,Họ hàng,88,3.52
005955,009,25.0,1080,Họ hàng,83,3.32
006952,010,25.0,1080,Họ hàng,75,3.0
006953,010,25.0,1080,Họ hàng,75,3.0
008774,012,25.0,1080,Họ hàng,77,3.08
008775,012,25.0,1080,Họ hàng,66,2.64
009616,013,25.0,1080,Họ hàng,65,2.6
009617,013,25.0,1080,Họ hàng,64,2.56
010450,014,25.0,1080,Họ hàng,64,2.56
010451,014,25.0,1080,Họ hàng,76,3.04
011414,015,25.0,1080,Họ hàng,72,2.88
011415,015,25.0,1080,Họ hàng,57,2.28
011416,015,25.0,1080,Họ hàng,72,2.88
011417,015,25.0,1080,Họ hàng,74,2.96
011418,015,25.0,1080,Họ hàng,75,3.0
011419,015,25.0,1080,Họ hàng,75,3.0
012530,016,25.0,1080,Họ hàng,72,2.88
012531,016,25.0,1080,Họ hàng,80,3.2
013385,018,25.0,1080,Họ hàng,60,2.4
013386,018,25.0,1080,Họ hàng,60,2.4
015038,020,25.0,1080,Họ hàng,69,2.76
015039,020,25.0,1080,Họ hàng,68,2.72
016027,021,25.0,1080,Họ hàng,67,2.68
016028,021,25.0,1080,Họ hàng,69,2.76
016886,022,25.0,1080,Họ hàng,62,2.48
016887,022,25.0,1080,Họ hàng,66,2.64
016888,022,25.0,1080,Họ hàng,64,2.56
018633,024,25.0,1080,Họ hàng,63,2.52
018634,024,25.0,1080,Họ hàng,60,2.4
019682,026,25.0,1080,Họ hàng,82,3.28
019683,026,25.0,1080,Họ hàng,75,3.0
020632,024,25.0,1080,Họ hàng,72,2.88
020732,024,25.0,1080,Họ hàng,65,2.6
022400,026,25.0,1080,Họ hàng,73,2.92
022500,026,25.0,1080,Họ hàng,68,2.72
023284,027,25.0,1080,Họ hàng,74,2.96
023384,027,25.0,1080,Họ hàng,78,3.12
024084,028,25.0,1080,Họ hàng,69,2.76
024184,028,25.0,1080,Họ hàng,71,2.84
000020,001,25.0,1080,Máy chiếu,52,2.08
000021,001,25.0,1080,Máy chiếu,63,2.52
001724,003,25.0,1080,Máy chiếu,59,2.36
001725,003,25.0,1080,Máy chiếu,54,2.16
002574,004,25.0,1080,Máy chiếu,60,2.4
002575,004,25.0,1080,Máy chiếu,57,2.28
003436,006,25.0,1080,Máy chiếu,63,2.52
003437,006,25.0,1080,Máy chiếu,65,2.6
004268,007,25.0,1080,Máy chiếu,64,2.56
004269,007,25.0,1080,Máy chiếu,55,2.2
005956,009,25.0,1080,Máy chiếu,74,2.96
005957,009,25.0,1080,Máy chiếu,63,2.52
009618,013,25.0,1080,Máy chiếu,58,2.32
009619,013,25.0,1080,Máy chiếu,63,2.52
010452,014,25.0,1080,Máy chiếu,61,2.44
010453,014,25.0,1080,Máy chiếu,61,2.44
011420,015,25.0,1080,Máy chiếu,58,2.32
012532,016,25.0,1080,Máy chiếu,60,2.4
012533,016,25.0,1080,Máy chiếu,58,2.32
012534,016,25.0,1080,Máy chiếu,73,2.92
013387,018,25.0,1080,Máy chiếu,53,2.12
013388,018,25.0,1080,Máy chiếu,53,2.12
014214,019,25.0,1080,Máy chiếu,61,2.44
014215,019,25.0,1080,Máy chiếu,64,2.56
015040,020,25.0,1080,Máy chiếu,59,2.36
015041,020,25.0,1080,Máy chiếu,56,2.24
016889,022,25.0,1080,Máy chiếu,58,2.32
016890,022,25.0,1080,Máy chiếu,65,2.6
016891,022,25.0,1080,Máy chiếu,66,2.64
019505,025,25.0,1080,Máy chiếu,48,1.92
019506,025,25.0,1080,Máy chiếu,55,2.2
019684,026,25.0,1080,Máy chiếu,65,2.6
019685,026,25.0,1080,Máy chiếu,65,2.6
021517,025,25.0,1080,Máy chiếu,65,2.6
021617,025,25.0,1080,Máy chiếu,75,3.0
022401,026,25.0,1080,Máy chiếu,69,2.76
022501,026,25.0,1080,Máy chiếu,72,2.88
023285,027,25.0,1080,Máy chiếu,67,2.68
023385,027,25.0,1080,Máy chiếu,142,5.68
024085,028,25.0,1080,Máy chiếu,68,2.72
024185,028,25.0,1080,Máy chiếu,62,2.48
000022,001,25.0,1080,Nồi cơm điện,60,2.4
000023,001,25.0,1080,Nồi cơm điện,70,2.8
000883,002,25.0,1080,Nồi cơm điện,60,2.4
000884,002,25.0,1080,Nồi cơm điện,62,2.48
002576,004,25.0,1080,Nồi cơm điện,75,3.0
002577,004,25.0,1080,Nồi cơm điện,64,2.56
004270,007,25.0,1080,Nồi cơm điện,69,2.76
004271,007,25.0,1080,Nồi cơm điện,70,2.8
004272,007,25.0,1080,Nồi cơm điện,65,2.6
005101,008,25.0,1080,Nồi cơm điện,72,2.88
005102,008,25.0,1080,Nồi cơm điện,85,3.4
005958,009,25.0,1080,Nồi cơm điện,90,3.6
005959,009,25.0,1080,Nồi cơm điện,89,3.56
005960,009,25.0,1080,Nồi cơm điện,95,3.8
005961,009,25.0,1080,Nồi cơm điện,103,4.12
005962,009,25.0,1080,Nồi cơm điện,98,3.92
006956,010,25.0,1080,Nồi cơm điện,70,2.8
006957,010,25.0,1080,Nồi cơm điện,68,2.72
007844,011,25.0,1080,Nồi cơm điện,65,2.6
007845,011,25.0,1080,Nồi cơm điện,65,2.6
008778,012,25.0,1080,Nồi cơm điện,72,2.88
008779,012,25.0,1080,Nồi cơm điện,74,2.96
009620,013,25.0,1080,Nồi cơm điện,60,2.4
009621,013,25.0,1080,Nồi cơm điện,57,2.28
012535,016,25.0,1080,Nồi cơm điện,80,3.2
012536,016,25.0,1080,Nồi cơm điện,76,3.04
013389,018,25.0,1080,Nồi cơm điện,59,2.36
013390,018,25.0,1080,Nồi cơm điện,60,2.4
015042,020,25.0,1080,Nồi cơm điện,59,2.36
015043,020,25.0,1080,Nồi cơm điện,58,2.32
016892,022,25.0,1080,Nồi cơm điện,65,2.6
016893,022,25.0,1080,Nồi cơm điện,68,2.72
016894,022,25.0,1080,Nồi cơm điện,66,2.64
018637,024,25.0,1080,Nồi cơm điện,51,2.04
018638,024,25.0,1080,Nồi cơm điện,52,2.08
019686,026,25.0,1080,Nồi cơm điện,70,2.8
019687,026,25.0,1080,Nồi cơm điện,69,2.76
020634,024,25.0,1080,Nồi cơm điện,63,2.52
020734,024,25.0,1080,Nồi cơm điện,57,2.28
022402,026,25.0,1080,Nồi cơm điện,86,3.44
022502,026,25.0,1080,Nồi cơm điện,84,3.36
023286,027,25.0,1080,Nồi cơm điện,87,3.48
023386,027,25.0,1080,Nồi cơm điện,88,3.52
